number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_NSGAIISampler:generation,state
0,0.8689915756358207,16.12321014837506,11.816296071393019,2025-12-15 21:23:45.795928,2025-12-15 21:23:47.445513,0 days 00:00:01.649585,0.5290418060840998,0.28570714885887566,12,12,1436,98,0.8661761457749352,0.6011150117432088,0.5779972601681014,0,COMPLETE
1,0.8761113487675667,15.68155202511345,11.49505728357273,2025-12-15 21:23:47.447508,2025-12-15 21:24:01.407151,0 days 00:00:13.959643,0.5917022549267169,0.01596950334578271,15,14,2270,129,0.3042422429595377,0.5247564316322378,0.5909124836035503,0,COMPLETE
2,0.874109774862497,15.807767659903538,11.627318069136347,2025-12-15 21:24:01.408148,2025-12-15 21:24:04.571683,0 days 00:00:03.163535,0.728034992108518,0.09445645065743215,10,18,1580,38,0.7851759613930136,0.19967378215835974,0.6831809216468459,0,COMPLETE
3,0.8615251491403733,16.57676172553065,12.24306103570753,2025-12-15 21:24:04.573678,2025-12-15 21:24:07.647452,0 days 00:00:03.073774,0.9744427686266666,0.18180022496999232,3,12,1786,99,0.9656320330745594,0.8083973481164611,0.5325257964926398,0,COMPLETE
4,0.8736670344790737,15.836381458093488,11.635415096868337,2025-12-15 21:24:07.649446,2025-12-15 21:24:15.294986,0 days 00:00:07.645540,0.5171942605576092,0.03832491306185132,11,10,1261,77,0.9093204020787821,0.2587799816000169,0.7475884550556351,0,COMPLETE
5,0.874469911591631,15.786272293057706,11.594391411763102,2025-12-15 21:24:15.295983,2025-12-15 21:24:17.874087,0 days 00:00:02.578104,0.8875664116805573,0.10039621206592916,9,13,2156,91,0.9394989415641891,0.8948273504276488,0.9847923138822793,0,COMPLETE
6,0.8654551123361001,16.3416445293029,12.00138019102362,2025-12-15 21:24:17.875081,2025-12-15 21:24:19.479787,0 days 00:00:01.604706,0.6943386448447411,0.2773435281567039,4,7,1995,45,0.2713490317738959,0.8287375091519293,0.6626651653816322,0,COMPLETE
7,0.8719134142560779,15.944284040148585,11.689618626950724,2025-12-15 21:24:19.480784,2025-12-15 21:24:22.879689,0 days 00:00:03.398905,0.9934434683002586,0.09147100780934041,10,41,1392,38,0.7722447692966574,0.1987156815341724,0.5372753218398854,0,COMPLETE
8,0.8717743668323337,15.95221388695298,11.72186094739129,2025-12-15 21:24:22.880686,2025-12-15 21:24:24.747690,0 days 00:00:01.867004,0.6792328642721364,0.2464838142519019,12,40,513,115,0.11586905952512971,0.8631034258755935,0.5370223258670452,0,COMPLETE
9,0.8579242860054432,16.793326500136693,12.370833763249667,2025-12-15 21:24:24.748687,2025-12-15 21:24:28.618331,0 days 00:00:03.869644,0.8187787356776066,0.10596042720726825,3,19,2058,60,0.8872127425763265,0.4722149251619493,0.864803089169032,0,COMPLETE
10,0.8714556916594802,15.975353118305268,11.671403078300838,2025-12-15 21:24:28.619329,2025-12-15 21:24:30.530215,0 days 00:00:01.910886,0.7613664146909971,0.21684098829466855,12,40,799,93,0.42754101835854963,0.02541912674409519,0.7468977981821954,0,COMPLETE
11,0.868925046655497,16.13217869518025,11.858522086438981,2025-12-15 21:24:30.531213,2025-12-15 21:24:36.216000,0 days 00:00:05.684787,0.6246461145744375,0.019114463849152934,11,28,769,61,0.41038292303562973,0.7555511385430487,0.9537832369630466,0,COMPLETE
12,0.8632293310133212,16.479354399262682,12.142158124766036,2025-12-15 21:24:36.216997,2025-12-15 21:24:40.434710,0 days 00:00:04.217713,0.8167018782552118,0.03232417385034997,6,47,1072,41,0.8714605901877177,0.8036720768991145,0.9040601897822085,0,COMPLETE
13,0.8681942917064076,16.174476431526983,11.847368229305896,2025-12-15 21:24:40.436705,2025-12-15 21:24:42.511154,0 days 00:00:02.074449,0.5550259622638384,0.26884210956209353,10,46,966,125,0.22793516254194168,0.4271077886262563,0.6590017374859319,0,COMPLETE
14,0.8596015842825979,16.691413164710777,12.323009715997014,2025-12-15 21:24:42.512151,2025-12-15 21:24:45.068310,0 days 00:00:02.556159,0.5599326836668415,0.2596118691443396,3,24,2545,86,0.33761517140362796,0.9429097039125192,0.6110539052353652,0,COMPLETE
15,0.8727896256722891,15.888559191122116,11.66567447035922,2025-12-15 21:24:45.069307,2025-12-15 21:24:47.568619,0 days 00:00:02.499312,0.6258911479126821,0.16044928030557618,12,49,1308,67,0.49724850589238545,0.30087830981676966,0.9812236474710556,0,COMPLETE
16,0.8741712734356064,15.802297549866001,11.579115347117108,2025-12-15 21:24:47.569616,2025-12-15 21:24:57.050246,0 days 00:00:09.480630,0.9541329429833268,0.02069721473281451,10,7,1212,85,0.23956189066697242,0.1448948720912231,0.6393232321183058,0,COMPLETE
17,0.8675865516961885,16.21242142352292,11.898947936983667,2025-12-15 21:24:57.051243,2025-12-15 21:24:58.622039,0 days 00:00:01.570796,0.8641081743059298,0.2958386316920742,6,40,1724,108,0.3677831327192532,0.6323058305935795,0.6188187719961998,0,COMPLETE
18,0.8667324244523631,16.264999291842898,11.959093883353374,2025-12-15 21:24:58.623036,2025-12-15 21:25:01.853392,0 days 00:00:03.230356,0.520387570777382,0.16537465838167995,4,19,2084,129,0.5908929431882418,0.6775643618422824,0.5932592551999272,0,COMPLETE
19,0.8686708096442082,16.146203448017083,11.849030439154133,2025-12-15 21:25:01.854389,2025-12-15 21:25:03.705436,0 days 00:00:01.851047,0.6933676731502687,0.1585069869067915,5,13,541,104,0.9367299887367345,0.13752094414599325,0.845468869051233,0,COMPLETE
20,0.8749669863323508,15.754074561880582,11.55520535811107,2025-12-15 21:25:03.707430,2025-12-15 21:25:09.292484,0 days 00:00:05.585054,0.9086111001006079,0.04290732115977083,15,16,1353,134,0.5552008115994623,0.5296505783560065,0.8299920230170895,0,COMPLETE
21,0.8743568755536639,15.79188068071478,11.568752644949178,2025-12-15 21:25:09.293482,2025-12-15 21:25:16.656777,0 days 00:00:07.363295,0.6746047873063304,0.03699980266371077,14,34,1104,137,0.7259556788702394,0.8971102599525771,0.6695148955243504,0,COMPLETE
22,0.8695972548093754,16.09095434176814,11.81724747261767,2025-12-15 21:25:16.658771,2025-12-15 21:25:17.998188,0 days 00:00:01.339417,0.803214529829795,0.23616390829871092,11,12,2718,31,0.009197051616629648,0.1014715428660321,0.9492770942635396,0,COMPLETE
23,0.8483063696839039,17.35706129212239,12.842558869388649,2025-12-15 21:25:18.000182,2025-12-15 21:25:25.140075,0 days 00:00:07.139893,0.61213465473028,0.011467859315403419,5,36,2159,91,0.7121792213475359,0.23724908749680007,0.8259806297513003,0,COMPLETE
24,0.8705626715823497,16.02790359972198,11.767245926034828,2025-12-15 21:25:25.141073,2025-12-15 21:25:27.432940,0 days 00:00:02.291867,0.5468373839140462,0.226482507484227,11,35,1313,131,0.3677158030594335,0.26520236768172545,0.7841543016677358,0,COMPLETE
25,0.8686618356073957,16.148071303216494,11.839471783677565,2025-12-15 21:25:27.433936,2025-12-15 21:25:28.996754,0 days 00:00:01.562818,0.751318546552596,0.2921730608782092,8,34,1110,136,0.5769038846263591,0.4925176938188639,0.8974056517708242,0,COMPLETE
26,0.8687656386036494,16.135943485436748,11.838516584433304,2025-12-15 21:25:28.998749,2025-12-15 21:25:30.759038,0 days 00:00:01.760289,0.9702292921764571,0.21951111342583654,6,34,988,23,0.9539285770025874,0.9148643902204485,0.5885553397035245,0,COMPLETE
27,0.8709576619019905,16.00415923458255,11.731342235267979,2025-12-15 21:25:30.760035,2025-12-15 21:25:42.418835,0 days 00:00:11.658800,0.92650472773368,0.014482418793371553,15,49,1425,76,0.2944488920695857,0.38509772860192526,0.9818099885446264,0,COMPLETE
28,0.8677757096425645,16.19926644330966,11.933334776984456,2025-12-15 21:25:42.421829,2025-12-15 21:25:47.052437,0 days 00:00:04.630608,0.7850305850446825,0.10190738149532051,5,48,2628,92,0.09717649377076854,0.6150072266991697,0.8480148983374864,0,COMPLETE
29,0.8730429228572308,15.875173336971054,11.632741853142399,2025-12-15 21:25:47.055429,2025-12-15 21:25:53.745525,0 days 00:00:06.690096,0.8512420419935547,0.050624364418591965,9,39,2976,134,0.35949115121975517,0.29359184426449336,0.848507870497634,0,COMPLETE
